tconst,primaryTitle,startYear,region,language,directors,writers,cast_crew,categories
tt0017224,"Oh, Baby!",1926,PK,en,nm0461295,"nm0388554,nm0461295","[""'Little Billy' Rhodes"", 'Al Lichtman', 'Arthur Hoerl', 'Creighton Hale', 'Damon Runyon', 'David Butler', 'Ethel Shannon', 'Flora Finch', 'Graham McNamee', 'Harley Knoles', 'Jimmy Cannon', 'Madge Kennedy', 'Marcel Le Picard', 'Ring Lardner', 'Stuart Kelson']","['actor', 'actress', 'cinematographer', 'director', 'producer', 'writer']"
tt0017421,Spangles,1926,BD,en,nm0175410,"nm0720805,nm0388919,nm0047889,nm0031033","['André Barlatier', 'Charles Becker', ""Frank O'Connor"", 'Gladys Brockwell', 'Grace Gordon', 'Hobart Bosworth', 'Hugh Hoffman', 'James Conly', 'Jay Emmett', 'Leah Baird', 'Marian Nixon', 'Nellie Revell', ""Pat O'Malley"", 'Paul Howard', 'Tiny Ward', 'Walter Anthony']","['actor', 'actress', 'cinematographer', 'director', 'writer']"
tt0017421,Spangles,1926,PK,en,nm0175410,"nm0720805,nm0388919,nm0047889,nm0031033","['André Barlatier', 'Charles Becker', ""Frank O'Connor"", 'Gladys Brockwell', 'Grace Gordon', 'Hobart Bosworth', 'Hugh Hoffman', 'James Conly', 'Jay Emmett', 'Leah Baird', 'Marian Nixon', 'Nellie Revell', ""Pat O'Malley"", 'Paul Howard', 'Tiny Ward', 'Walter Anthony']","['actor', 'actress', 'cinematographer', 'director', 'writer']"
tt0018033,It,1927,PK,en,"nm0046082,nm0903049","nm0323325,nm0521002,nm0510024,nm0547938","['Antonio Moreno', 'Carl Davis', 'Clara Bow', 'Clarence G. Badger', 'David Gill', 'E. Lloyd Sheldon', 'Elinor Glyn', 'Elmo Billings', 'Gary Cooper', 'George Marion Jr.', 'H. Kinley Martin', 'Hope Loring', 'Jacqueline Gadsdon', 'Julia Swayne Gordon', 'Kevin Brownlow', 'Lloyd Corrigan', 'Louis D. Lighton', 'Priscilla Bonner', 'William Austin', 'William P. Perry']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt0018662,Avalanche,1928,BD,bn,nm0112897,"nm0340719,nm0542534,nm0747844,nm0591791","['Dick Winslow', 'Doris Hill', 'Guy Oliver', 'Herman J. Mankiewicz', 'J. Walter Ruben', 'Jack Holt', 'Jane Loring', 'John Darrow', 'Olga Baclanova', 'Otto Brower', 'Roy Clark', 'Sam Mintz', 'Zane Grey']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'writer']"
tt0019729,The Broadway Melody,1929,PK,en,nm0064600,"nm0332539,nm0396876,nm0322299,nm0049898","['Anita Page', 'Bessie Love', 'Betty Arthur', 'Charles King', 'Eddie Kane', 'Edmund Goulding', 'Harry Beaumont', 'J. Emmett Beck', 'James Gleason', 'Jed Prouty', 'John Arnold', 'Kenneth Thomson', 'Nacio Herb Brown', 'Norman Houston', 'Sam Zimbalist', 'The Angeles Twins']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'writer']"
tt0020691,The Big Trail,1930,PK,en,"nm0909825,nm0517264","nm0263346,nm0102293,nm0668685,nm0692891,nm0909825","['Arthur Edeson', 'Charles Stevens', 'David Rollins', 'El Brendel', 'Frederick Burton', 'Hal G. Evarts', 'Ian Keith', 'Jack Dennis', 'John Wayne', 'Louise Carver', 'Lucien N. Andriot', 'Marguerite Churchill', 'Raoul Walsh', 'Tully Marshall', 'Tyrone Power Sr.']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'writer']"
tt0021884,Frankenstein,1931,BD,en,nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246","['Arthur Edeson', 'Boris Karloff', 'Carl Laemmle Jr.', 'Clarence Kolster', 'Colin Clive', 'Dwight Frye', 'Edward Van Sloan', 'Frederick Kerr', 'Garrett Fort', 'James Whale', 'John Boles', 'John L. Balderston', 'Lionel Belmore', 'Mae Clarke', 'Marilyn Harris', 'Mary Shelley', 'Peggy Webling', 'Ted Billings']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
tt0026385,Frisco Kid,1935,BD,en,nm0045800,"nm0240417,nm0589316","['Addison Richards', 'Barton MacLane', 'Donald Woods', 'George E. Stone', 'James Cagney', 'Joe King', 'Lili Damita', 'Lloyd Bacon', 'Margaret Lindsay', 'Owen Marks', 'Ricardo Cortez', 'Robert McWade', 'Seton I. Miller', 'Sol Polito', 'Warren Duff']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'writer']"
tt0027502,Darkest Africa,1936,PK,en,"nm0247484,nm0437356","nm0711739,nm0765036,nm0663760,nm0461107","['B. Reeves Eason', 'Barney A. Sarecky', 'Clyde Beatty', 'Donald Reed', 'Edgar Lyons', 'Edmund Cobb', 'Edward McWade', 'Elaine Shepard', 'John Rathmell', 'Joseph Byrd', 'Joseph Kane', 'Lucien Prival', 'Manuel King', 'Nat Levine', 'Ray Turner', 'Richard Fantl', 'Ted Parsons', 'Tracy Knight', 'Wheeler Oakman', 'William Nobles']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
