nconst,primaryName,birthYear,deathYear,firstFilmAssociated,firstFilmYear,category,gender
nm0000006,Ingrid Bergman,1915,1982,Gaslight,1944.0,actress,Not available in IMDb public dataset
nm0000007,Humphrey Bogart,1899,1957,The Oklahoma Kid,1939.0,actor,Not available in IMDb public dataset
nm0000008,Marlon Brando,1924,2004,The Godfather,1972.0,actor,Not available in IMDb public dataset
nm0000010,James Cagney,1899,1986,Frisco Kid,1935.0,actor,Not available in IMDb public dataset
nm0000011,Gary Cooper,1901,1961,It,1927.0,actor,Not available in IMDb public dataset
nm0000012,Bette Davis,1908,1989,Watch on the Rhine,1943.0,actress,Not available in IMDb public dataset
nm0000018,Kirk Douglas,1916,2020,The Master Touch,1972.0,actor,Not available in IMDb public dataset
nm0000019,Federico Fellini,1920,1993,Sweet Charity,1969.0,writer,Not available in IMDb public dataset
nm0000025,Jerry Goldsmith,1929,2004,100 Rifles,1969.0,composer,Not available in IMDb public dataset
nm0000026,Cary Grant,1904,1986,My Favorite Wife,1940.0,actor,Not available in IMDb public dataset
nm0000032,Charlton Heston,1923,2008,The Big Country,1958.0,actor,Not available in IMDb public dataset
nm0000033,Alfred Hitchcock,1899,1980,The Birds,1963.0,director,Not available in IMDb public dataset
nm0000035,James Horner,1953,2015,An American Tail,1986.0,composer,Not available in IMDb public dataset
nm0000048,Peter Lorre,1904,1964,Passage to Marseille,1944.0,actor,Not available in IMDb public dataset
nm0000060,Gregory Peck,1916,2003,The Big Country,1958.0,actor,Not available in IMDb public dataset
nm0000063,Anthony Quinn,1915,2001,The Message,1976.0,actor,Not available in IMDb public dataset
nm0000065,Nino Rota,1911,1979,The Godfather,1972.0,composer,Not available in IMDb public dataset
nm0000067,Miklós Rózsa,1907,1995,Sahara,1943.0,composer,Not available in IMDb public dataset
nm0000068,Randolph Scott,1898,1987,My Favorite Wife,1940.0,actor,Not available in IMDb public dataset
nm0000070,Max Steiner,1888,1971,The Oklahoma Kid,1939.0,composer,Not available in IMDb public dataset
nm0000071,James Stewart,1908,1997,An American Tail: Fievel Goes West,1991.0,actor,Not available in IMDb public dataset
nm0000075,Spencer Tracy,1900,1967,A Guy Named Joe,1943.0,actor,Not available in IMDb public dataset
nm0000077,Franz Waxman,1906,1967,Destination Tokyo,1943.0,composer,Not available in IMDb public dataset
nm0000078,John Wayne,1907,1979,The Big Trail,1930.0,actor,Not available in IMDb public dataset
nm0000079,Raquel Welch,1940,2023,100 Rifles,1969.0,actress,Not available in IMDb public dataset
nm0000082,Victor Young,1899,1956,The Story of Dr. Wassell,1944.0,composer,Not available in IMDb public dataset
nm0000086,Louis de Funès,1914,1983,The Gendarme of Saint-Tropez,1964.0,actor,Not available in IMDb public dataset
nm0000092,John Cleese,1939,\N,An American Tail: Fievel Goes West,1991.0,actor,Not available in IMDb public dataset
nm0000093,Brad Pitt,1963,\N,Babylon,2022.0,actor,Not available in IMDb public dataset
nm0000104,Antonio Banderas,1960,\N,Shrek the Third,2007.0,actor,Not available in IMDb public dataset
nm0000113,Sandra Bullock,1964,\N,The Lost City,2022.0,actress,Not available in IMDb public dataset
nm0000114,Steve Buscemi,1957,\N,Hotel Transylvania 4: Transformania,2022.0,actor,Not available in IMDb public dataset
nm0000115,Nicolas Cage,1964,\N,The Croods: A New Age,2020.0,actor,Not available in IMDb public dataset
nm0000116,James Cameron,1954,\N,The Terminator,1984.0,director,Not available in IMDb public dataset
nm0000117,Neve Campbell,1973,\N,Gone South: How Canada Invented Hollywood,2014.0,self,Not available in IMDb public dataset
nm0000120,Jim Carrey,1962,\N,Horton Hears a Who!,2008.0,actor,Not available in IMDb public dataset
nm0000124,Jennifer Connelly,1970,\N,Alita: Battle Angel,2019.0,actress,Not available in IMDb public dataset
nm0000125,Sean Connery,1930,2020,Dr. No,1962.0,actor,Not available in IMDb public dataset
nm0000129,Tom Cruise,1962,\N,War of the Worlds,2005.0,actor,Not available in IMDb public dataset
nm0000136,Johnny Depp,1963,\N,Sherlock Gnomes,2018.0,actor,Not available in IMDb public dataset
nm0000138,Leonardo DiCaprio,1974,\N,The Wolf of Wall Street,2013.0,actor,Not available in IMDb public dataset
nm0000139,Cameron Diaz,1972,\N,Shrek the Third,2007.0,actress,Not available in IMDb public dataset
